TID,PaymentMode,MovieName,TotalAmount
AA3201911161302,Cash,Finals,17.5
AA1201911161303,Cash,Finals,7.5
AA1201911161307,Cash,Finals,7.5
AA1201911161314,Cash,Finals,7.5
AA1201911161316,Cash,Finals,1.7000000000000002
AA1201911161321,Cash,Finals,8.5
AA1201911161500,Cash,Finals,10.5
BB2201911161540,Cash,Joker,7.5
CC2201911161540,Cash,Joker,7.5
BB2201911161543,Cash,Joker,7.5
CC2201911161543,Cash,Joker,8.5
AA1201911161601,Credit/Debit Card,Finals,10.5
AA3201911161602,Credit/Debit Card,Finals,41.0
AA1201911161609,Cash,Finals,10.5
AA3201911161609,Cash,Finals,20.5
CC2201911161610,Cash,Joker,7.5
CC1201911161611,Cash,Joker,1.5
CC1201911161613,Cash,Joker,1.5
CC1201911161614,Credit/Debit Card,Joker,9.0
CC2201911161615,Cash,Joker,7.5
CC1201911161616,Cash,Joker,9.0
CC2201911161650,Cash,Joker,7.5
AA2201911161758,Cash,Fragility,25.0
BB1201911161758,Cash,Titanic,33.0
CC2201911161804,Cash,Joker,5.0
BB2201911161816,Cash,Joker,7.5
CC2201911161817,Cash,Joker,8.5
BB2201911161822,Cash,Joker,7.5
CC2201911161825,Cash,Joker,7.5
CC1201911161826,Cash,Joker,9.0
AA1201911161826,Cash,Finals,10.5
AA3201911161827,Cash,Finals,20.5
CC1201911161829,Cash,Joker,9.0
